Age,Income,SpendingScore,Segment
18,108858,51,High
61,39065,70,Low
25,144097,6,Low
41,103460,67,Low
28,108092,7,Middle
68,146116,51,High
34,74693,72,Low
25,46962,42,Low
52,48295,64,Middle
52,33807,15,Middle
50,62348,29,Low
22,46432,33,Middle
59,103285,94,High
56,126995,27,Low
58,111792,36,Middle
45,77854,29,Middle
24,60262,38,Middle
26,57080,57,Low
25,21324,97,Low
29,111267,27,High
51,144707,55,High
50,55909,33,Middle
65,109339,68,Middle
40,39870,86,Middle
41,54578,66,Middle
54,92124,10,Low
52,137611,5,Low
61,123605,74,High
57,46790,97,Low
39,138874,38,High
44,45289,13,Low
52,75129,31,Low
18,113714,47,Low
52,114246,88,Middle
54,35485,52,High
64,64482,56,Low
31,106188,15,High
20,24748,29,Middle
18,106769,8,High
22,29435,5,Low
43,23709,29,High
31,143961,47,Middle
56,50355,68,Low
44,75771,76,Low
26,77799,45,High
32,33116,2,High
32,45470,27,Low
43,62344,95,Middle
59,62918,36,High
30,72224,36,High
68,59298,26,High
49,128492,43,Middle
56,100219,27,Middle
66,81629,69,Low
69,86040,20,Low
49,119518,11,Middle
21,119835,74,Middle
47,48016,38,Low
54,43960,6,High
40,53591,72,Middle
56,102848,23,Middle
62,123333,47,Middle
32,131732,90,Middle
60,134821,46,Low
46,87641,12,Low
53,56395,90,Low
30,131276,13,Low
49,149695,62,Middle
24,42700,82,Middle
68,54620,89,Low
39,123214,97,Middle
45,148148,60,Low
19,40559,43,High
59,113045,76,High
62,113396,68,Low
23,81642,5,Middle
45,96539,37,Low
45,41732,72,Middle
61,148675,92,Middle
61,111362,31,Low
37,50354,9,Middle
47,33843,51,Low
28,130008,29,Low
45,134065,78,Middle
42,91726,40,Low
56,37640,41,Middle
50,72528,86,Middle
18,58413,11,High
44,148142,23,Low
69,72638,1,Middle
30,72736,46,Middle
58,127892,21,Low
20,130133,90,High
56,126357,36,Middle
23,88866,54,Middle
25,39087,87,Middle
44,61430,57,High
26,44504,1,High
54,27114,63,Middle
50,98859,54,Middle
68,119657,55,Low
59,30975,40,Low
61,31023,15,Middle
41,41447,21,Low
32,110469,47,Middle
49,145899,73,Low
49,43959,53,Low
41,86203,9,Middle
58,139156,74,High
69,49703,52,Low
66,29337,57,Middle
66,66427,26,High
69,141507,41,Low
29,81529,35,High
56,122023,63,Low
19,104665,25,Low
20,125787,90,High
66,51921,75,Low
54,53307,38,Middle
66,47355,2,High
34,123268,7,Low
66,147016,82,Middle
19,24835,91,High
19,40159,34,Low
45,124346,91,High
40,67605,17,Middle
54,141790,43,Middle
49,125616,59,Middle
50,58088,51,Low
18,98752,54,High
36,75284,24,High
19,77043,25,Middle
61,145388,71,Middle
43,55547,52,Middle
49,117007,70,Middle
23,102844,88,Middle
49,47532,33,Middle
21,54349,49,Middle
28,142402,29,Middle
34,138012,63,Middle
55,65445,22,Low
41,25713,26,Low
22,76178,28,Middle
69,69407,85,Middle
51,90340,49,Middle
23,70990,71,Middle
39,95672,81,Middle
28,149473,84,Middle
65,85545,49,Low
33,104791,20,Middle
50,78141,86,Middle
26,43793,92,High
23,76570,63,Middle
33,115084,61,Low
46,57892,49,Low
20,21015,71,Low
37,144704,1,Middle
53,81813,96,Low
36,47712,13,Middle
43,120497,94,Middle
20,28415,87,Low
36,131854,51,Middle
37,132816,56,Low
49,148778,83,Middle
24,82292,62,Low
69,43833,32,High
58,24158,30,Low
50,82680,29,High
57,40309,49,Middle
56,26970,45,High
35,92474,93,Middle
57,106704,30,Middle
18,66540,16,Middle
28,40384,40,Middle
45,38017,19,Middle
42,95880,18,Middle
67,125570,1,Middle
40,28702,78,Low
48,20384,47,Low
47,20404,66,Middle
59,60943,92,Middle
52,67926,94,Middle
24,49189,38,Middle
33,32763,51,High
43,38384,63,Low
65,80100,4,Low
69,118142,1,Low
66,29860,8,Middle
19,124293,29,High
18,100642,55,Low
65,70612,3,Middle
29,43574,32,Middle
22,43524,10,Middle
54,89172,74,Middle
49,30916,83,Low
26,24809,34,Middle
58,52201,97,Middle
52,73330,87,Low
36,33456,55,Middle
65,133748,92,Low
33,76397,32,Middle
20,141288,50,Middle
37,58765,7,Middle
41,54816,93,Middle
50,65106,8,Low
41,73932,65,Middle
69,37100,57,Low
28,77091,67,Low
66,41949,88,High
25,90080,87,Low
53,57744,59,Middle
55,65543,72,Middle
57,128319,54,Low
37,112193,67,Low
52,56187,51,Low
65,132734,97,High
42,27239,92,Middle
52,144454,8,Low
42,34489,34,Middle
46,134937,35,Middle
35,78017,96,Low
63,81877,88,Middle
35,63125,78,Middle
19,69922,32,High
52,114074,46,Low
33,52049,16,Low
58,57131,68,Low
53,62944,37,Middle
50,135765,54,Low
21,93963,85,Middle
50,126884,14,Middle
31,145917,95,Middle
38,44285,55,Middle
65,57626,48,High
37,62808,82,Middle
25,108464,7,Middle
24,73871,74,Low
20,39198,7,High
34,39758,33,Low
50,35254,23,Low
65,64238,85,Low
29,21252,19,Middle
68,59764,19,Low
39,97709,36,Low
39,57441,29,Low
63,112234,60,Low
47,73682,82,Middle
55,79494,2,Middle
55,101317,1,Low
62,85215,47,Middle
68,98587,69,Middle
25,125185,20,Low
44,26949,11,Low
44,127825,2,High
51,75393,67,Middle
38,93553,87,Low
47,26941,12,Middle
50,45934,20,Low
45,43386,5,Middle
64,145362,37,Low
50,81886,38,Low
22,95745,94,Low
65,103251,9,High
36,114456,98,Middle
21,73413,53,Low
52,76800,44,Low
66,117239,99,Middle
34,62318,86,Low
61,139803,24,Low
45,90173,81,High
47,90390,74,Low
46,72329,30,Middle
63,142418,59,High
23,63088,87,Low
52,136868,96,Low
58,123196,81,Low
54,59811,81,High
41,134825,14,High
46,75479,9,Middle
66,105392,40,Low
63,107369,66,Middle
48,137520,25,High
52,39963,73,Middle
50,75123,22,High
69,145911,4,High
38,122468,26,Middle
49,112705,58,Middle
40,93477,29,Low
50,34388,98,Low
20,25569,87,Middle
35,89836,37,Low
42,124573,75,High
59,56586,70,High
48,147018,18,Middle
20,32015,85,Low
57,65002,42,Low
63,136594,41,Low
41,26254,38,Middle
67,37144,34,Middle
49,44214,17,High
64,125654,37,Middle
39,100719,25,High
40,91774,76,High
19,26090,87,Low
44,31637,86,High
59,42415,85,Low
19,44071,27,Low
43,78243,57,Middle
34,130951,31,Low
57,145827,6,Middle
50,128215,91,Middle
26,61240,40,Middle
60,146146,98,Low
65,103807,12,Middle
56,121570,53,Middle
46,53434,71,Middle
59,89724,10,Middle
43,135359,45,Low
52,95697,17,Middle
67,48732,26,Low
42,141465,85,Middle
41,31314,92,Middle
30,43954,62,Middle
24,77108,46,Middle
53,107044,64,High
62,107505,2,High
37,131195,54,High
18,123081,65,High
25,56668,51,Low
63,43061,53,Low
33,99252,36,Middle
31,59749,26,Low
29,149668,29,Middle
68,124680,21,Low
40,36907,11,Middle
32,38777,40,Middle
45,113229,11,Middle
51,71745,36,Middle
19,128464,59,High
49,148077,39,Middle
40,111865,99,High
39,132428,54,Low
68,101818,98,High
42,43624,55,Middle
39,43321,24,Low
39,30488,22,Low
66,42574,69,Middle
69,25240,56,Low
59,63221,33,Low
23,30478,36,Middle
32,148055,20,Middle
60,75645,83,Middle
54,130698,99,High
50,39262,81,Middle
25,138831,62,Middle
61,72796,98,Low
61,24432,73,Middle
22,115257,26,Low
56,84291,66,High
21,99104,73,High
23,79399,73,Middle
62,147600,40,Low
49,99714,17,High
69,70428,1,Middle
47,107731,89,Low
64,145646,61,Low
52,20302,43,Middle
57,102558,42,Low
69,20055,25,High
33,131317,39,Middle
30,28717,35,Low
67,147449,3,High
59,48699,44,Low
47,93686,51,Middle
36,87661,94,Low
34,64247,98,Low
36,134049,12,Middle
45,36748,19,Middle
43,125113,44,Middle
54,24621,59,Middle
43,35034,49,Middle
40,131927,61,Low
26,147858,17,Low
29,25126,74,High
18,25122,57,Middle
18,38030,55,Middle
64,102838,47,Low
51,104717,12,Low
49,75658,62,Middle
65,58638,80,High
42,87067,88,Middle
57,126476,83,High
62,138033,8,Middle
18,125977,95,Low
33,108869,21,Middle
56,125186,81,Low
22,54674,87,Low
39,55854,80,High
46,66271,70,Middle
20,93688,72,Middle
29,58518,25,Low
43,131076,82,Low
33,30267,89,Low
68,110825,12,Low
54,21062,15,Middle
39,136664,59,Low
46,70448,26,Middle
31,115462,26,Low
45,26229,47,Low
22,76793,32,Low
64,134813,10,Middle
66,67915,16,Middle
47,24632,71,Middle
63,124592,17,Middle
69,23596,23,Middle
22,129779,26,Low
29,26168,85,Low
33,128099,86,High
43,27561,7,Middle
43,93794,14,Low
65,102152,79,High
38,145036,7,Middle
56,144049,9,Low
53,46734,48,Middle
50,26371,72,Middle
47,138894,59,Middle
54,46069,87,Low
40,99905,93,Low
27,32910,82,Middle
22,93479,95,Middle
53,97735,94,High
51,101264,39,Middle
69,43275,99,Low
48,92274,18,Middle
27,101449,59,Low
36,120776,17,Middle
49,80004,14,Middle
18,82981,31,Low
22,104659,24,Middle
62,74553,99,Low
21,68447,60,Low
33,54529,45,Low
41,146394,98,Low
33,95703,3,High
19,96090,37,Middle
66,37260,43,Low
45,132581,40,Middle
49,23812,90,Low
44,48024,55,High
37,78656,87,Middle
41,136148,39,Middle
29,47285,15,Low
67,112436,4,Middle
52,136421,93,Middle
50,21605,86,High
50,91158,25,Low
68,92303,13,Low
60,47139,82,High
54,97149,33,Middle
29,76138,16,Low
20,138205,42,Low
18,96125,66,High
50,33918,55,Low
57,105655,99,Middle
27,47446,42,Middle
60,144040,34,Low
61,33046,30,Middle
46,149922,13,Low
30,44818,13,Low
29,120894,18,Middle
48,135751,32,High
63,24324,96,Middle
19,96323,99,Middle
68,29111,39,Low
67,58110,46,Low
52,36389,29,Low
40,142177,62,Low
34,61427,93,Low
43,99579,62,Low
25,48746,57,Low
46,142883,16,Low
43,107886,56,Middle
27,127141,10,High
43,20117,30,Low
51,145808,25,High
68,132221,84,High
58,104471,5,Low
24,132613,65,Middle
21,33234,94,Middle
67,149597,49,Middle
62,123864,3,Low
28,73441,45,Middle
46,20846,14,Low
53,30954,30,Middle
